Homolog;Evalue;Coverage;TaxID;Organism;M;J
UniRef90_A0A2C9WTN5;3.67e-101;0.972;1977876;Acinetobacter sp. ANC 4558 ;1;0
UniRef90_UPI000697B15D;2.46e-100;0.979;396323;Acinetobacter brisoui Anandham et al. 2011;Error5;Error5
UniRef90_A0A1P8EEQ9;5.61e-100;0.915;487316;Acinetobacter soli ;Error5;Error5
UniRef90_A0A1B2M0V7;8.51e-100;0.985;1789224;Acinetobacter larvae ;1;0
UniRef90_S3P6I4;7.13e-99;0.940;421052;Acinetobacter rudis CIP 110305 ;1;0
UniRef90_A0A315WJI9;7.52e-99;0.970;2170730;Acinetobacter sp. AM ;1;0
UniRef90_A0A4R0DK86;1.18e-97;0.957;2529846;Acinetobacter sp. ANC 4635 ;1;0
UniRef90_A0A151Y330;5.04e-97;0.981;1806892;Acinetobacter pragensis ;1;0
UniRef90_UPI00111E1CA4;3.15e-95;0.972;2576829;"Acinetobacter pullicarnis" Han et al. 2020;1;0
UniRef90_N8Y5C8;9.39e-95;0.949;1120926;Acinetobacter gerneri DSM 14967 = CIP 107464 ;1;0
UniRef90_A0A217EHZ3;2.78e-93;0.917;1229165;Acinetobacter apis ;1;0
UniRef90_A0A4R1XRW4;1.70e-89;0.977;471;Acinetobacter calcoaceticus ;Error5;Error5
UniRef90_A0A0N9W2M5;2.86e-89;0.938;1324350;Acinetobacter equi ;1;0
UniRef90_A0A1G6ILA3;3.16e-88;0.943;1219383;Acinetobacter boissieri ;1;0
UniRef90_N9H4B1;1.29e-86;0.981;981327;Acinetobacter lwoffii NCTC 5866 = CIP 64.10 = NIPH 512 ;0;0
UniRef90_A0A556CSR2;6.71e-85;0.977;Error2;Error2;Error2;Error2
UniRef90_A0A1J6X542;2.29e-83;0.953;1891969;Acinetobacter sp. AR2-3 ;1;0
UniRef90_N9HM35;2.96e-82;0.953;1217668;Acinetobacter lwoffii NIPH 478 ;1;0
UniRef90_N8WSG9;5.40e-80;0.957;1217710;Acinetobacter sp. NIPH 899 ;1;0
UniRef90_UPI0002CBD770;4.57e-70;0.255;470;Acinetobacter baumannii Bouvet and Grimont 1986;Error5;Error5
UniRef90_A0A3B7M484;5.51e-67;0.900;2004650;Acinetobacter chinensis ;1;0
UniRef90_A0A1Y3CBR6;3.13e-65;0.483;1977882;Acinetobacter sp. ANC 4999 ;1;0
UniRef90_A0A6S4V3R4;1.32e-64;0.283;48296;Acinetobacter pittii ;Error5;Error5
UniRef90_UPI00056E0254;2.38e-32;0.155;470;Acinetobacter baumannii Bouvet and Grimont 1986;Error5;Error5
UniRef90_UPI0015D36513;3.90e-32;0.340;2601140;Acinetobacter sp. YH12201;0;0
UniRef90_N8YC56;1.78e-30;0.923;1120926;Acinetobacter gerneri DSM 14967 = CIP 107464 ;1;0
UniRef90_UPI0015D34DD1;1.56e-21;0.291;2601140;Acinetobacter sp. YH12201;0;0
UniRef90_UPI00047B5D28;8.47e-21;0.760;197183;alkane-degrading soil bacterium MVAB Hex1;Error5;Error5
UniRef90_A0A1S8CSK9;1.60e-16;0.766;1907941;Alkanindiges hydrocarboniclasticus ;1;0
UniRef90_A0A4Q5VJT6;2.58e-14;0.506;1889775;Moraxellaceae bacterium ;Error6;Error6
UniRef90_A0A2E9AMK1;1.70e-06;0.340;1914330;Salinisphaera sp. ;Error6;Error6
UniRef90_UPI000483D423;2.83e-06;0.402;73030;ATCC 700666;Error5;Error5
UniRef90_A0A0K1JA95;4.66e-05;0.298;198107;Azoarcus sp. CIB ;1;0
UniRef90_A0A5C0YPN4;1.08e-04;0.291;Error2;Error2;Error2;Error2
UniRef90_UPI00135D06C8;1.37e-04;0.270;2675298;BCRC 81185;1;0
UniRef90_A0A0F5K5W4;1.49e-04;0.315;28092;Robbsia andropogonis ;Error5;Error5
UniRef90_A0A2S8VE95;2.33e-04;0.291;1827284;Achromobacter sp. MYb9 ;1;0
UniRef90_UPI00161475D2;2.78e-04;0.649;714531;BCRC 80168;1;0
UniRef90_A0A2G3K997;4.89e-04;0.640;1559339;Chitinimonas sp. BJB300 ;1;0
UniRef90_Q47E03;5.64e-04;0.666;159087;Dechloromonas aromatica (strain RCB) ;1;0
UniRef90_A0A2S0I2T3;6.51e-04;0.311;217203;Achromobacter spanius ;1;0
UniRef90_UPI0016013189;6.66e-04;0.291;1862319;Achromobacter sp. UMC46;1;0
UniRef90_UPI0010F7112C;8.79e-04;0.685;2502235;Chitinivorax sp. B;1;0
UniRef90_UPI00145E964F;0.002;0.387;90060;Aromatoleum toluolicum Rabus et al. 2019;1;0
UniRef90_A0A261TK55;0.002;0.666;1395608;Bordetella genomosp. 5 ;1;0
UniRef90_A0A5B8N703;0.004;0.300;2601898;Noviherbaspirillum sp. UKPF54 ;1;1
UniRef90_A0A446C9B0;0.004;0.291;1353888;Achromobacter agilis ;1;0
UniRef90_J3HN88;0.004;0.332;1144342;Herbaspirillum sp. YR522 ;0;0
UniRef90_A0A2N2QGV5;0.006;0.370;2013719;Betaproteobacteria bacterium HGW-Betaproteobacteria-7 ;Error6;Error6
UniRef90_UPI00145CEF96;0.007;0.389;59406;Aromatoleum evansii (Anders et al. 1995) Rabus et al. 2019;1;0
UniRef90_A0A3Q9PFY1;0.007;0.664;366649;Xanthomonas citri pv. fuscans ;Error5;Error5
UniRef90_A0A418X0Y0;0.007;0.294;2320862;Herbaspirillum sp. K2R10-39 ;1;0
UniRef90_A0A2S7EP45;0.010;0.677;53414;Xanthomonas populi ;1;0
UniRef90_A0A3M8SQK4;0.012;0.696;1327343;Lysobacter psychrotolerans ;1;0
UniRef90_A0A2V4UJ91;0.014;0.738;198480;Psychrobacter fozii ;1;0
UniRef90_UPI0016488190;0.022;0.611;135621;Pseudomonadaceae;Error5;Error5
UniRef90_A0A562LAR1;0.026;0.260;985012;Luteimonas cucumeris ;1;0
UniRef90_A0A4P7ACL8;0.027;0.287;863372;Herbaspirillum huttiense ;Error5;Error5
UniRef90_UPI000360DE59;0.032;0.262;92003;Aromatoleum toluclasticum;Error5;Error5
UniRef90_UPI00123D20EE;0.048;0.311;2608630;Dechloromonas sp. CZR5;1;0
UniRef90_UPI000F615873;0.059;0.300;1781211;DSM 101871;1;0
UniRef90_A0A2N2RNV5;0.099;0.311;2013716;Betaproteobacteria bacterium HGW-Betaproteobacteria-4 ;Error6;Error6
UniRef90_A0A246WWI7;0.11;0.298;2014887;Herbaspirillum robiniae ;1;1
UniRef90_A0A557SJE1;0.11;0.289;1629404;Denitromonas halophilus ;1;0
UniRef90_A0A561KCR9;0.16;0.309;863372;Herbaspirillum huttiense ;Error5;Error5
UniRef90_N9DKI1;0.37;0.694;1257043;Acinetobacter ursingii ANC 3649 ;0;0
UniRef90_A0A1N7QLR8;0.40;0.304;1881016;Achromobacter sp. MFA1 R4 ;1;1
UniRef90_UPI000585A1E1;0.70;0.306;863372;ATCC 14670;Error5;Error5
UniRef90_A0A1K2HEM2;0.96;0.272;1121279;Chitinimonas taiwanensis DSM 18899 ;1;0
UniRef90_A0A1R1I838;1.1;0.306;418702;Azonexus hydrophilus ;Error5;Error5
UniRef90_A0A514ED11;1.4;0.113;152263;Xanthomonas translucens pv. cerealis ;1;0
UniRef90_A0A0G3BGI6;2.0;0.443;413882;[Polyangium] brachysporum ;Error6;Error6
UniRef90_A0A1N6VCW5;2.2;0.298;34027;Aromatoleum tolulyticum ;1;0
UniRef90_A0A2S5SYZ5;2.4;0.174;1452508;Zhizhongheella caldifontis ;1;0
UniRef90_A0A6L4AU23;3.0;0.153;2651171;Thermoanaerobaculia bacterium ;Error6;Error6
UniRef90_A0A4R3XSY5;3.0;0.289;1706046;Sulfurirhabdus autotrophica ;1;0
UniRef90_A0A4S2D035;3.1;0.087;40324;Stenotrophomonas maltophilia ;Error5;Error5
UniRef90_A0A0J6ILL6;3.2;0.274;1608994;Pseudomonas weihenstephanensis ;1;1
UniRef90_A0A1C3NQK6;3.5;0.094;56449;Xanthomonas bromi ;1;0
UniRef90_UPI000F01BA7A;3.9;0.274;33069;ATCC 13223;Error5;Error5
UniRef90_A0A095VVJ2;4.5;0.309;1532557;Achromobacter sp. RTa ;1;0
UniRef90_A0A0X8NV61;5.3;0.289;85698;Alcaligenes xylosoxydans xylosoxydans ;Error5;Error5
UniRef90_A0A3C1W1B3;5.5;0.302;2053619;Succinivibrio sp. ;Error6;Error6
UniRef90_UPI0015AAB053;5.5;0.181;2044939;Clostridia bacterium;Error6;Error6
UniRef90_A0A1Z9PIH1;5.8;0.264;1986750;Gammaproteobacteria bacterium TMED234 ;Error6;Error6
UniRef90_A0A357NL09;6.7;0.085;69392;Stenotrophomonas sp. ;Error6;Error6
UniRef90_U4T6K5;9.8;0.381;1354303;Psychrobacter aquaticus CMS 56 ;1;0
